_id,tripduration,start station id,start station name,end station id,end station name,bikeid,usertype,birth year,gender,start station location,end station location,start time,stop time
572bb8232b288919b68af97e,477,356,Bialystoker Pl & Delancey St,251,Mott St & Prince St,16122,Subscriber,1963,1,"{'$numberDouble': '-73.98261206'}, {'$numberDouble': '40.71622644'}","{'$numberDouble': '-73.99480012'}, {'$numberDouble': '40.72317958'}",2016-01-02T12:12:58,2016-01-02T12:20:56
572bb8232b288919b68af97f,1678,507,E 25 St & 2 Ave,3137,5 Ave & E 73 St,21606,Subscriber,1981,2,"{'$numberDouble': '-73.97973776'}, {'$numberDouble': '40.73912601'}","{'$numberDouble': '-73.96685276'}, {'$numberDouble': '40.77282817'}",2016-01-02T12:13:01,2016-01-02T12:41:00
572bb8232b288919b68af980,1202,72,W 52 St & 11 Ave,507,E 25 St & 2 Ave,22186,Subscriber,1989,1,"{'$numberDouble': '-73.99392888'}, {'$numberDouble': '40.76727216'}","{'$numberDouble': '-73.97973776'}, {'$numberDouble': '40.73912601'}",2016-01-02T12:13:11,2016-01-02T12:33:13
572bb8232b288919b68af982,1858,284,Greenwich Ave & 8 Ave,368,Carmine St & 6 Ave,14958,Subscriber,1981,1,"{'$numberDouble': '-74.0026376103'}, {'$numberDouble': '40.7390169121'}","{'$numberDouble': '-74.00214988'}, {'$numberDouble': '40.73038599'}",2016-01-02T12:13:16,2016-01-02T12:44:14
572bb8232b288919b68af983,128,146,Hudson St & Reade St,79,Franklin St & W Broadway,21190,Subscriber,1960,2,"{'$numberDouble': '-74.0091059'}, {'$numberDouble': '40.71625008'}","{'$numberDouble': '-74.00666661'}, {'$numberDouble': '40.71911552'}",2016-01-02T12:13:16,2016-01-02T12:15:24
572bb8232b288919b68af990,383,285,Broadway & E 14 St,266,Avenue D & E 8 St,21058,Subscriber,1993,1,"{'$numberDouble': '-73.99074142'}, {'$numberDouble': '40.73454567'}","{'$numberDouble': '-73.97574813'}, {'$numberDouble': '40.72368361'}",2016-01-02T12:13:47,2016-01-02T12:20:11
572bb8232b288919b68af999,216,512,W 29 St & 9 Ave,470,W 20 St & 8 Ave,23499,Subscriber,1984,1,"{'$numberDouble': '-73.99839279'}, {'$numberDouble': '40.7500727'}","{'$numberDouble': '-74.00004031'}, {'$numberDouble': '40.74345335'}",2016-01-02T12:14:12,2016-01-02T12:17:49
572bb8232b288919b68af9a2,265,331,Pike St & Monroe St,361,Allen St & Hester St,22885,Subscriber,1983,1,"{'$numberDouble': '-73.99193043'}, {'$numberDouble': '40.71173107'}","{'$numberDouble': '-73.99190759'}, {'$numberDouble': '40.71605866'}",2016-01-02T12:14:38,2016-01-02T12:19:04
572bb8232b288919b68af9a4,939,465,Broadway & W 41 St,393,E 5 St & Avenue C,24247,Subscriber,1989,1,"{'$numberDouble': '-73.98658032'}, {'$numberDouble': '40.75513557'}","{'$numberDouble': '-73.97995466'}, {'$numberDouble': '40.72299208'}",2016-01-02T12:14:47,2016-01-02T12:30:27
572bb8232b288919b68af9a6,248,345,W 13 St & 6 Ave,280,E 10 St & 5 Ave,16311,Subscriber,1961,1,"{'$numberDouble': '-73.99704374'}, {'$numberDouble': '40.73649403'}","{'$numberDouble': '-73.99510132'}, {'$numberDouble': '40.73331967'}",2016-01-02T12:15:03,2016-01-02T12:19:12
